dcterms:identifier,dcterms:Title,dcterms:created,dcterms:temporal,dcterms:available,dcterms:creator,dcterms:source,item_sets,media,latitude,longitude,schema:polygon,_iiif
24792236,Planta da Cidade do Rio de Janeiro,1935,Not Available,1928/1940,"Secretaria de Viação, Trabalho e Obras Públicas",http://www.rio.rj.gov.br/web/arquivogeral Arquivo Geral da Cidade do Rio de Janeiro Arquivo Geral da Cidade do Rio de Janeiro,all||maps,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24792236.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/24792236/manifest>Manifest</a>
24708468,Portal Colonial Norte,1922,Not Available,1922/1923,Unknown,http://www.siaapm.cultura.mg.gov.br Arquivo Público Mineiro Arquivo Público Mineiro,all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24708468.jpg,0,0,"POLYGON ((-4805869.8925000000 -2620557.4846000000, -4805819.9202999990 -2620534.7797000000, -4805819.0642000010 -2620540.0623999983, -4805818.9265000000 -2620545.4123000020, -4805819.5096000000 -2620550.7320999987, -4805820.8029999990 -2620555.9250999987, -4805822.7831000000 -2620560.8970000000, -4805825.4140000010 -2620565.5573000014, -4805828.6478000000 -2620569.8214000016, -4805832.4257000000 -2620573.6118000000, -4805836.6791999990 -2620576.8596000000, -4805869.8925000000 -2620557.4846000000))",<a href =https://images.imaginerio.org/iiif/3/24708468/manifest>Manifest</a>
24708467,Portal Monumental Sul e Palácio Monroe,1922,Not Available,1922/1923,Unknown,http://www.siaapm.cultura.mg.gov.br Arquivo Público Mineiro Arquivo Público Mineiro,all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24708467.jpg,0,0,"POLYGON ((-4806220.0929000005 -2621297.3489999995, -4806207.9894999990 -2621416.5483999997, -4806212.9357999990 -2621420.1658999994, -4806218.3040000000 -2621423.1211999990, -4806224.0061000010 -2621425.3658000007, -4806229.9484000000 -2621426.8629000000, -4806236.0332999990 -2621427.5879000016, -4806242.1609000005 -2621427.5289000010, -4806248.2307999990 -2621426.6867999993, -4806254.1431000010 -2621425.0755000003, -4806259.8007999990 -2621422.7214000000, -4806265.1110999990 -2621419.6631999984, -4806269.9868000000 -2621415.9510999992, -4806274.3478000000 -2621411.6460000016, -4806278.1225000005 -2621406.8185999990, -4806281.2489000000 -2621401.5482000000, -4806283.6757999990 -2621395.9213000014, -4806220.0929000005 -2621297.3489999995))",<a href =https://images.imaginerio.org/iiif/3/24708467/manifest>Manifest</a>
24708466,Palácio da Fiação - Portal Colonial Norte - Palácio das Pequenas Indústrias,1922,Not Available,1922/1923,Unknown,http://www.siaapm.cultura.mg.gov.br Arquivo Público Mineiro Arquivo Público Mineiro,all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24708466.jpg,0,0,"POLYGON ((-4805743.5219000000 -2620625.5703999996, -4805833.1186999995 -2620593.1189000010, -4805834.7664000000 -2620588.4058000000, -4805835.6685000010 -2620583.4950999990, -4805835.8033000010 -2620578.5040999986, -4805835.1677000000 -2620573.5518999994, -4805833.7769000010 -2620568.7567000017, -4805831.6641000010 -2620564.2329000010, -4805828.8796000000 -2620560.0885999985, -4805825.4900000000 -2620556.4226999990, -4805821.5760999990 -2620553.3227000013, -4805817.2315000000 -2620550.8625000007, -4805812.5596999990 -2620549.1010000000, -4805807.6724000000 -2620548.0801000000, -4805802.6861000005 -2620547.8242000006, -4805743.5219000000 -2620625.5703999996))",<a href =https://images.imaginerio.org/iiif/3/24708466/manifest>Manifest</a>
24708465,Palácio das Pequenas Indústrias - Palácio dos Estados - Palácio da Fiação,1922,Not Available,1922/1923,Unknown,http://www.siaapm.cultura.mg.gov.br Arquivo Público Mineiro Arquivo Público Mineiro,all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24708465.jpg,0,0,"POLYGON ((-4805817.3033000010 -2620566.4849000014, -4805740.1072000000 -2620602.1372999996, -4805737.9498000000 -2620606.5166000016, -4805736.4810000010 -2620611.1722000020, -4805735.7348000000 -2620615.9967000000, -4805735.7283999990 -2620620.8786000013, -4805736.4619999990 -2620625.7049999980, -4805737.9186000000 -2620630.3645000010, -4805740.0645000000 -2620634.7494000010, -4805742.8501999990 -2620638.7584999986, -4805746.2114000000 -2620642.2989999987, -4805750.0703000000 -2620645.2892000005, -4805754.3378000000 -2620647.6600000000, -4805758.9154000000 -2620649.3566000015, -4805763.6972000000 -2620650.3398999980, -4805817.3033000010 -2620566.4849000014))",<a href =https://images.imaginerio.org/iiif/3/24708465/manifest>Manifest</a>
24708464,Vista do Pavilhão Caça e Pesca e do Ancoradouro da Exposição,1922,Not Available,1922/1923,Unknown,http://www.siaapm.cultura.mg.gov.br Arquivo Público Mineiro Arquivo Público Mineiro,all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24708464.jpg,0,0,"POLYGON ((-4805495.9969000000 -2620546.1741000004, -4805590.9564000000 -2620564.0714000016, -4805594.5024999995 -2620560.1189000010, -4805597.4343000000 -2620555.6915000007, -4805599.6890999990 -2620550.8839999996, -4805601.2188000010 -2620545.7989999987, -4805601.9904999990 -2620540.5452999994, -4805601.9879000000 -2620535.2351999990, -4805601.2109999990 -2620529.9822999984, -4805599.6763000000 -2620524.8988000005, -4805597.4168000000 -2620520.0934999995, -4805594.4805999990 -2620515.6689999998, -4805590.9307000000 -2620511.7199999990, -4805586.8428000010 -2620508.3308999985, -4805582.3044000010 -2620505.5740999990, -4805577.4125000000 -2620503.5086999983, -4805572.2716000010 -2620502.1787000000, -4805566.9918000010 -2620501.6125000007, -4805561.6859000010 -2620501.8224000000, -4805495.9969000000 -2620546.1741000004))",<a href =https://images.imaginerio.org/iiif/3/24708464/manifest>Manifest</a>
24708463,Trecho da Avenida das Nações,1922,Not Available,1922/1923,Unknown,http://www.siaapm.cultura.mg.gov.br Arquivo Público Mineiro Arquivo Público Mineiro,all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24708463.jpg,0,0,"POLYGON ((-4805522.8756000010 -2620735.4644999990, -4805601.7622000000 -2620867.8484999985, -4805606.6904000010 -2620869.5773000010, -4805611.8095999990 -2620870.6116999984, -4805617.0223999990 -2620870.9318000004, -4805622.2296999990 -2620870.5317000000, -4805627.3325000000 -2620869.4189999998, -4805632.2336000000 -2620867.6147999987, -4805636.8398000000 -2620865.1534000000, -4805641.0636000000 -2620862.0817000010, -4805644.8247000000 -2620858.4580000006, -4805648.0513000000 -2620854.3513999990, -4805650.6822999995 -2620849.8398000000, -4805652.6675000000 -2620845.0091999993, -4805653.9693000000 -2620839.9514000006, -4805654.5627000000 -2620834.7624999993, -4805654.4366000000 -2620829.5414000005, -4805653.5934000000 -2620824.3872999996, -4805522.8756000010 -2620735.4644999990))",<a href =https://images.imaginerio.org/iiif/3/24708463/manifest>Manifest</a>
24708462,Vista da Ponta do Calabouço,1922,Not Available,1922/1923,Unknown,http://www.siaapm.cultura.mg.gov.br Arquivo Público Mineiro Arquivo Público Mineiro,all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24708462.jpg,0,0,"POLYGON ((-4805404.7283000000 -2620666.7756999990, -4805539.4717000000 -2620758.6075000020, -4805545.8696000000 -2620753.0938000010, -4805551.7828000000 -2620747.0632999986, -4805557.1699000000 -2620740.5584000014, -4805561.9929000010 -2620733.6250000000, -4805566.2179000005 -2620726.3117000014, -4805569.8151999990 -2620718.6702000014, -4805572.7594000010 -2620710.7540000007, -4805575.0298000000 -2620702.6189999990, -4805576.6105000000 -2620694.3222999983, -4805577.4903000000 -2620685.9222999997, -4805577.6631000005 -2620677.4781000020, -4805577.1275999990 -2620669.0491000004, -4805575.8875999990 -2620660.6946999990, -4805573.9518000000 -2620652.4736000000, -4805571.3339000010 -2620644.4437000006, -4805568.0522000010 -2620636.6613000000, -4805564.1298999990 -2620629.1814000010, -4805404.7283000000 -2620666.7756999990))",<a href =https://images.imaginerio.org/iiif/3/24708462/manifest>Manifest</a>
24708461,Pavilhão do Distrito Federal,1922,Not Available,1922/1923,Unknown,http://www.siaapm.cultura.mg.gov.br Arquivo Público Mineiro Arquivo Público Mineiro,all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24708461.jpg,0,0,"POLYGON ((-4805740.1072000000 -2620602.1372999996, -4805745.9260000010 -2620642.0689000003, -4805750.2519000005 -2620643.1510999985, -4805754.6975000000 -2620643.5003000014, -4805759.1393000000 -2620643.1068000010, -4805763.4542000000 -2620641.9816000015, -4805767.5226000010 -2620640.1559000015, -4805771.2314000000 -2620637.6801999994, -4805774.4780000000 -2620634.6233000010, -4805777.1722000000 -2620631.0700000003, -4805779.2393000000 -2620627.1187999994, -4805780.6219000000 -2620622.8792999983, -4805781.2817000000 -2620618.4692000000, -4805740.1072000000 -2620602.1372999996))",<a href =https://images.imaginerio.org/iiif/3/24708461/manifest>Manifest</a>
24708460,Pavilhão dos Estados,1922,Not Available,1922/1923,Unknown,http://www.siaapm.cultura.mg.gov.br Arquivo Público Mineiro Arquivo Público Mineiro,all||views,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/24708460.jpg,0,0,"POLYGON ((-4805694.5024999995 -2620511.5126000010, -4805655.7810999990 -2620652.7677000016, -4805660.4989000000 -2620657.8178999983, -4805665.7586000000 -2620662.3009999990, -4805671.4923000000 -2620666.1592999995, -4805677.6263000000 -2620669.3431000000, -4805684.0814999990 -2620671.8114000000, -4805690.7748000010 -2620673.5324999990, -4805697.6199999990 -2620674.4840999990, -4805704.5288999990 -2620674.6539999990, -4805711.4125999990 -2620674.0399999990, -4805718.1823999990 -2620672.6501000000, -4805724.7511000000 -2620670.5020999983, -4805731.0342000000 -2620667.6235999987, -4805736.9506000000 -2620664.0518000014, -4805742.4243000000 -2620659.8326999990, -4805747.3847000000 -2620655.0205999985, -4805694.5024999995 -2620511.5126000010))",<a href =https://images.imaginerio.org/iiif/3/24708460/manifest>Manifest</a>
