id,first_year,last_year,geometry
001AAN005136,1905,1915,"POLYGON ((-43.22166728457663 -22.96882996548885, -43.22514138707658 -22.97047589771599, -43.22529987746339 -22.97015444809099, -43.22542338297001 -22.96982024324643, -43.22551071440349 -22.96947650184001, -43.22556103097745 -22.96912653434933, -43.22557384839915 -22.96877371118776, -43.22554904352265 -22.96842143024424, -43.22548685552346 -22.96807308415937, -43.22538788358403 -22.96773202765313, -43.22527005500641 -22.96743822224869, -43.22166728457663 -22.96882996548885))"
001AAN005137,1905,1915,"POLYGON ((-43.22223202112041 -22.96865417679236, -43.22520384829429 -22.97098948921721, -43.22543814964462 -22.97071004792387, -43.2256415728204 -22.97041080747625, -43.22581215887354 -22.97009464984497, -43.22594826514445 -22.96976461990849, -43.22604858107484 -22.96942389612519, -43.22611214082081 -22.96907575991958, -43.22613833254463 -22.9687235640778, -43.22612690429639 -22.96837070045674, -43.22608524473744 -22.96805923092811, -43.22223202112041 -22.96865417679236))"
001AAN005138,1905,1915,"POLYGON ((-43.22215960947169 -22.96906668261828, -43.22585238330275 -22.96789179146984, -43.2257095225831 -22.96756419127303, -43.22553247539593 -22.96725106110743, -43.22532294697067 -22.96695541647703, -43.22508295529881 -22.96668010447758, -43.22481481169477 -22.96642777638223, -43.22452109853445 -22.96620086211343, -43.22420464438513 -22.9660015468466, -43.22416879433824 -22.96598151322437, -43.22215960947169 -22.96906668261828))"
001AAN005139,1905,1915,"POLYGON ((-43.22655661012372 -22.96581773001592, -43.23043886879594 -22.96541394409639, -43.23037718494315 -22.96506552223781, -43.23027870747858 -22.96472434494968, -43.23014438504868 -22.96439369788873, -43.22997551147328 -22.96407676527825, -43.22977371327674 -22.96377659924569, -43.22954093401684 -22.96349609043314, -43.22927941556217 -22.96323794016347, -43.22899167649875 -22.96300463443015, -43.22871613102072 -22.96281993074113, -43.22655661012372 -22.96581773001592))"
001AAN005140,1905,1915,"POLYGON ((-43.22320421599993 -22.96674595899999, -43.2269796288636 -22.9658203285644, -43.22686290688841 -22.96548406445557, -43.22671095070342 -22.96515995337006, -43.22652522393098 -22.96485111657646, -43.22630751537714 -22.96456052822744, -43.22605992179847 -22.96429098672139, -43.22578482770512 -22.96404508775713, -43.2254848823949 -22.96382519934109, -43.22516297443935 -22.9636334389873, -43.22486089813011 -22.96348809826705, -43.22320421599993 -22.96674595899999))"
001AAN005141,1905,1915,"POLYGON ((-43.20323182765544 -22.9373102189061, -43.1993315169055 -22.93750658935046, -43.19937119326814 -22.93785771375051, -43.19944805009985 -22.93820356590208, -43.19956134749675 -22.9385408150069, -43.19970999458478 -22.93886621309557, -43.19989256001612 -22.93917662631017, -43.20010728574595 -22.93946906508878, -43.20035210395726 -22.93974071296091, -43.2005316199801 -22.93990961115675, -43.20323182765544 -22.9373102189061))"
001AAN005142,1905,1915,"POLYGON ((-43.24918077856867 -22.97321065511654, -43.24606893150037 -22.97103537214224, -43.24585233327177 -22.97132666960626, -43.24566778845475 -22.97163611096124, -43.24551707447429 -22.97196071623181, -43.24540164299119 -22.97229735938942, -43.24532260591408 -22.97264279845406, -43.24528072468178 -22.97299370671322, -43.24527640291998 -22.97334670475789, -43.24529843058103 -22.97361553675474, -43.24918077856867 -22.97321065511654))"
001AAN005143,1905,1915,"POLYGON ((-43.25574896100004 -22.96961648899999, -43.25223940554408 -22.9680356412751, -43.25208800843876 -22.96835997536533, -43.25197186732784 -22.96869641065926, -43.25189210095329 -22.96904170717909, -43.25184947777697 -22.96939253958558, -43.2518444085696 -22.96974552920074, -43.25187694244377 -22.97009727654519, -43.25194676636981 -22.97044439407689, -43.25205320817913 -22.97078353881589, -43.25209243730845 -22.97088397119642, -43.25574896100004 -22.96961648899999))"
001AAN005144,1905,1915,"POLYGON ((-43.17857817932843 -22.90388822871469, -43.17634715553545 -22.90093580728334, -43.17604374668685 -22.90115146152057, -43.1757647443372 -22.9013934719839, -43.17551283541407 -22.9016595081147, -43.17529044597777 -22.90194700797303, -43.17509971785559 -22.90225320290537, -43.17494248801112 -22.90257514420342, -43.17482027084764 -22.90290973149724, -43.17473424361616 -22.90325374260976, -43.17468883458807 -22.90356476486474, -43.17857817932843 -22.90388822871469))"
001AAN005145,1905,1915,"POLYGON ((-43.25009595199997 -22.973678811, -43.24619241378923 -22.97352352507165, -43.24619467338426 -22.97387653941126, -43.24623450458927 -22.97422764997286, -43.24631152409519 -22.97457347534187, -43.24642499043198 -22.97491068497778, -43.24657381109895 -22.97523603129108, -43.24675655307689 -22.97554638092224, -43.24697145662089 -22.9758387449214, -43.24710311782831 -22.97599139178323, -43.25009595199997 -22.973678811))"
