id,portals_id,portals_url
000087,8590022653,http://acervos.ims.com.br/portals/#/detailpage/8590022653
000088,8590022654,http://acervos.ims.com.br/portals/#/detailpage/8590022654
000089,8590022655,http://acervos.ims.com.br/portals/#/detailpage/8590022655
000090,8590022656,http://acervos.ims.com.br/portals/#/detailpage/8590022656
000091,8590022657,http://acervos.ims.com.br/portals/#/detailpage/8590022657
000092,8590022658,http://acervos.ims.com.br/portals/#/detailpage/8590022658
000093,8590022601,http://acervos.ims.com.br/portals/#/detailpage/8590022601
000094,8590022602,http://acervos.ims.com.br/portals/#/detailpage/8590022602
000095,8590022620,http://acervos.ims.com.br/portals/#/detailpage/8590022620
000096,8590022603,http://acervos.ims.com.br/portals/#/detailpage/8590022603
000097,8590022604,http://acervos.ims.com.br/portals/#/detailpage/8590022604
000098,8590022605,http://acervos.ims.com.br/portals/#/detailpage/8590022605
000099,8590022606,http://acervos.ims.com.br/portals/#/detailpage/8590022606
000100,8590022607,http://acervos.ims.com.br/portals/#/detailpage/8590022607
000101,8590022608,http://acervos.ims.com.br/portals/#/detailpage/8590022608
000102,8590022621,http://acervos.ims.com.br/portals/#/detailpage/8590022621
000104,8590026457,http://acervos.ims.com.br/portals/#/detailpage/8590026457
000105,8590026458,http://acervos.ims.com.br/portals/#/detailpage/8590026458
000106,8590026459,http://acervos.ims.com.br/portals/#/detailpage/8590026459
000107,8590026460,http://acervos.ims.com.br/portals/#/detailpage/8590026460
000108,8590026461,http://acervos.ims.com.br/portals/#/detailpage/8590026461
000109,8590026462,http://acervos.ims.com.br/portals/#/detailpage/8590026462
000110,8590026463,http://acervos.ims.com.br/portals/#/detailpage/8590026463
000111,8590026464,http://acervos.ims.com.br/portals/#/detailpage/8590026464
000112,8590026465,http://acervos.ims.com.br/portals/#/detailpage/8590026465
000113,8590026466,http://acervos.ims.com.br/portals/#/detailpage/8590026466
000114,8590026467,http://acervos.ims.com.br/portals/#/detailpage/8590026467
000115,8590026468,http://acervos.ims.com.br/portals/#/detailpage/8590026468
