Source ID,wikidata_id_url,wikidata_image,wikidata_ims_id,Depicts,Wikidata ID
001ACL019001,http://www.wikidata.org/entity/Q97772929,,,,Q97772929
001ACL019003,http://www.wikidata.org/entity/Q97772930,,,,Q97772930
001ACL019004,http://www.wikidata.org/entity/Q65620123,,,http://www.wikidata.org/entity/Q5997836 Ilha das Cobras,Q65620123
001ACL019005,http://www.wikidata.org/entity/Q97772931,,,,Q97772931
001ACL019009,http://www.wikidata.org/entity/Q65620124,,,http://www.wikidata.org/entity/Q2946148 Centro,Q65620124
001ACL019014,http://www.wikidata.org/entity/Q97772932,,,,Q97772932
001ACL019026,http://www.wikidata.org/entity/Q65620125,,,http://www.wikidata.org/entity/Q3757943 Gamboa,Q65620125
001ACL019029,http://www.wikidata.org/entity/Q65620128,,,,Q65620128
001ACL019030,http://www.wikidata.org/entity/Q65620129,,,,Q65620129
001ACL019043,http://www.wikidata.org/entity/Q65620130,,,http://www.wikidata.org/entity/Q980992 Santa Teresa,Q65620130
001ACL019053,http://www.wikidata.org/entity/Q65620131,,,,Q65620131
001ACL019059,http://www.wikidata.org/entity/Q97772879,,,,Q97772879
001ACL019093,http://www.wikidata.org/entity/Q65620132,,,http://www.wikidata.org/entity/Q2946148 Centro,Q65620132
001AE001001,http://www.wikidata.org/entity/Q65621328,http://commons.wikimedia.org/wiki/Special:FilePath/Pal%C3%A1cio%20Monroe%204%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,Q65621328
001AE001002,http://www.wikidata.org/entity/Q65620134,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Botafogo%20e%20Corcovado%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro),Q65620134
001AE001003,http://www.wikidata.org/entity/Q97772920,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20da%20Ba%C3%ADa%20de%20Guanabara%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772920
001AF001001,http://www.wikidata.org/entity/Q97772880,http://commons.wikimedia.org/wiki/Special:FilePath/Copacabana%20%282%29%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772880
001ALA011001,http://www.wikidata.org/entity/Q65620135,http://commons.wikimedia.org/wiki/Special:FilePath/Pal%C3%A1cio%20Monroe%20%282%29%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,Q65620135
001ALA011002,http://www.wikidata.org/entity/Q65620136,http://commons.wikimedia.org/wiki/Special:FilePath/Teatro%20Municipal%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q579694 Cinelândia,Q65620136
001ALA011003,http://www.wikidata.org/entity/Q65620138,http://commons.wikimedia.org/wiki/Special:FilePath/Avenida%20Rio%20Branco%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,Q65620138
001ALA011004,http://www.wikidata.org/entity/Q97772735,http://commons.wikimedia.org/wiki/Special:FilePath/Avenida%20Niemeyer%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772735
001ALA011005,http://www.wikidata.org/entity/Q65620139,http://commons.wikimedia.org/wiki/Special:FilePath/P%C3%A3o%20de%20A%C3%A7%C3%BAcar%20visto%20da%20Urca%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q203325 Praia Vermelha,Q65620139
001ALA011006,http://www.wikidata.org/entity/Q65620140,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20tirada%20do%20P%C3%A3o%20de%20A%C3%A7%C3%BAcar%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65620140
001ALA011007,http://www.wikidata.org/entity/Q97772737,http://commons.wikimedia.org/wiki/Special:FilePath/P%C3%A3o%20de%20A%C3%A7%C3%BAcar%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772737
001ALA011008,http://www.wikidata.org/entity/Q65620141,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro),Q65620141
001ALA011009,http://www.wikidata.org/entity/Q97772740,http://commons.wikimedia.org/wiki/Special:FilePath/Crep%C3%BAsculo%20na%20Avenida%20Niemeyer%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772740
001ALA011010,http://www.wikidata.org/entity/Q97772742,,,,Q97772742
001ALA011011,http://www.wikidata.org/entity/Q97772766,http://commons.wikimedia.org/wiki/Special:FilePath/Copacabana%20e%20Avenida%20Delfim%20Moreira%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772766
001ALA011012,http://www.wikidata.org/entity/Q65620143,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Botafogo%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65620143
001ALA011013,http://www.wikidata.org/entity/Q97772767,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Saudade%2C%20vista%20tomada%20da%20Urca%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772767
001ALA011014,http://www.wikidata.org/entity/Q65620144,http://commons.wikimedia.org/wiki/Special:FilePath/Botafogo%20visto%20do%20P%C3%A3o%20de%20A%C3%A7%C3%BAcar%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65620144
001ALA011015,http://www.wikidata.org/entity/Q97772743,http://commons.wikimedia.org/wiki/Special:FilePath/Copacabana%20e%20Leme%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772743
001ALA011016,http://www.wikidata.org/entity/Q65621329,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Botafogo%202%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65621329
001ALA011017,http://www.wikidata.org/entity/Q97772744,http://commons.wikimedia.org/wiki/Special:FilePath/Hotel%20Central%2C%20na%20Praia%20do%20Flamengo%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772744
001ALA011018,http://www.wikidata.org/entity/Q65621330,http://commons.wikimedia.org/wiki/Special:FilePath/Avenida%20Rio%20Branco%206%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,Q65621330
001ALA011019,http://www.wikidata.org/entity/Q97772745,http://commons.wikimedia.org/wiki/Special:FilePath/Avenida%20Central%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772745
001ALA011020,http://www.wikidata.org/entity/Q65621331,http://commons.wikimedia.org/wiki/Special:FilePath/Avenida%20Rio%20Branco%202%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,Q65621331
001AM001001,http://www.wikidata.org/entity/Q97772545,http://commons.wikimedia.org/wiki/Special:FilePath/Pal%C3%A1cio%20Guanabara%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772545
001AM002001,http://www.wikidata.org/entity/Q97772546,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20da%20al%C3%A9ia%20das%20palmeiras%20a%20partir%20do%20Pal%C3%A1cio%20Guanabara%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772546
001AM002002,http://www.wikidata.org/entity/Q97772547,http://commons.wikimedia.org/wiki/Special:FilePath/Terra%C3%A7o%20do%20Pal%C3%A1cio%20da%20Guanabara%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772547
001AM003,http://www.wikidata.org/entity/Q97772804,http://commons.wikimedia.org/wiki/Special:FilePath/Escola%20Est%C3%A1cio%20de%20S%C3%A1%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772804
001AM004,http://www.wikidata.org/entity/Q97772805,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20Positivista%20do%20Brasil%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772805
001AM005001,http://www.wikidata.org/entity/Q65620149,http://commons.wikimedia.org/wiki/Special:FilePath/Inaugura%C3%A7%C3%A3o%20da%20Est%C3%A1tua%20da%20Amizade%20em%20frente%20a%20Igreja%20de%20Santa%20Luzia%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,Q65620149
001AM005002,http://www.wikidata.org/entity/Q97772548,http://commons.wikimedia.org/wiki/Special:FilePath/Inaugura%C3%A7%C3%A3o%20da%20Est%C3%A1tua%20da%20Amizade%20em%20frente%20a%20Igreja%20de%20Santa%20Luzia%20%282%29%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772548
001AM006,http://www.wikidata.org/entity/Q97772806,http://commons.wikimedia.org/wiki/Special:FilePath/Quinta%20da%20Boa%20Vista%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772806
001AM008,http://www.wikidata.org/entity/Q97772807,http://commons.wikimedia.org/wiki/Special:FilePath/Jockey%20Club%2C%20com%20a%20Pedra%20da%20G%C3%A1vea%20ao%20fundo%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772807
001AM010,http://www.wikidata.org/entity/Q65620150,http://commons.wikimedia.org/wiki/Special:FilePath/Pra%C3%A7a%20Marechal%20Floriano%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,Q65620150
001AM011,http://www.wikidata.org/entity/Q97772808,http://commons.wikimedia.org/wiki/Special:FilePath/Pra%C3%A7a%20Tiradentes%20%282%29%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772808
001AM012001,http://www.wikidata.org/entity/Q97772881,,,,Q97772881
001AM012002,http://www.wikidata.org/entity/Q97772809,,,,Q97772809
001AM012003,http://www.wikidata.org/entity/Q97772810,,,,Q97772810
001AM013,http://www.wikidata.org/entity/Q97772811,http://commons.wikimedia.org/wiki/Special:FilePath/Bonde%20em%20frente%20a%20Igreja%20do%20Sant%C3%ADssimo%20Sacramento%20da%20Antiga%20S%C3%A9%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772811
001AM014001,http://www.wikidata.org/entity/Q97772921,http://commons.wikimedia.org/wiki/Special:FilePath/Exposi%C3%A7%C3%A3o%20de%201908%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772921
001AM014002,http://www.wikidata.org/entity/Q97772922,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20da%20Exposi%C3%A7%C3%A3o%20de%201908%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772922
001AMF013001,http://www.wikidata.org/entity/Q65620151,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro),Q65620151
