,id,omeka_url
151,001AN01002067A,https://v3.imaginerio.org/api/items/165
152,001AN01002067B,https://v3.imaginerio.org/api/items/166
153,001AN01002074,https://v3.imaginerio.org/api/items/167
154,001AN01002075,https://v3.imaginerio.org/api/items/168
155,001AN01002076,https://v3.imaginerio.org/api/items/169
156,001AN01002077,https://v3.imaginerio.org/api/items/170
157,001AN01002078,https://v3.imaginerio.org/api/items/171
158,001AN02001004,https://v3.imaginerio.org/api/items/172
159,001AN02001005,https://v3.imaginerio.org/api/items/173
160,001AN29001002,https://v3.imaginerio.org/api/items/174
161,001AN29001003,https://v3.imaginerio.org/api/items/175
162,001AN29001004,https://v3.imaginerio.org/api/items/176
163,001AN30001001,https://v3.imaginerio.org/api/items/177
164,001AN31001002,https://v3.imaginerio.org/api/items/178
165,001AN32001,https://v3.imaginerio.org/api/items/179
166,001BA003001,https://v3.imaginerio.org/api/items/180
167,001BO001001,https://v3.imaginerio.org/api/items/181
168,001CC001024,https://v3.imaginerio.org/api/items/182
169,001CC001027,https://v3.imaginerio.org/api/items/183
170,001CC001032,https://v3.imaginerio.org/api/items/184
171,001CC002,https://v3.imaginerio.org/api/items/185
172,001CC007014,https://v3.imaginerio.org/api/items/186
173,001CC008005,https://v3.imaginerio.org/api/items/187
174,001CC008007,https://v3.imaginerio.org/api/items/188
175,001CC015001,https://v3.imaginerio.org/api/items/189
176,001CC015002,https://v3.imaginerio.org/api/items/190
177,001CC015003,https://v3.imaginerio.org/api/items/191
178,001CC015005,https://v3.imaginerio.org/api/items/192
179,001CC016001,https://v3.imaginerio.org/api/items/193
180,001CC016002,https://v3.imaginerio.org/api/items/194
181,001CC016003,https://v3.imaginerio.org/api/items/195
182,001CC017001,https://v3.imaginerio.org/api/items/196
183,001CC017002,https://v3.imaginerio.org/api/items/197
184,001CC018,https://v3.imaginerio.org/api/items/198
185,001CC019001,https://v3.imaginerio.org/api/items/199
186,001CC019002,https://v3.imaginerio.org/api/items/200
187,001CC019005,https://v3.imaginerio.org/api/items/201
188,001CC019007,https://v3.imaginerio.org/api/items/202
189,001CC019008,https://v3.imaginerio.org/api/items/203
190,001CC019010,https://v3.imaginerio.org/api/items/204
191,001CC019011,https://v3.imaginerio.org/api/items/205
192,001CC019012,https://v3.imaginerio.org/api/items/206
193,001CC019013,https://v3.imaginerio.org/api/items/207
194,001CC019014,https://v3.imaginerio.org/api/items/208
195,001CC020001,https://v3.imaginerio.org/api/items/209
196,001CC020002,https://v3.imaginerio.org/api/items/210
197,001CC021,https://v3.imaginerio.org/api/items/211
198,001CC023002,https://v3.imaginerio.org/api/items/212
199,001CC023003,https://v3.imaginerio.org/api/items/213
200,001CE001,https://v3.imaginerio.org/api/items/214
201,001CO001002,https://v3.imaginerio.org/api/items/215
202,001CO001004,https://v3.imaginerio.org/api/items/216
203,001CO001005,https://v3.imaginerio.org/api/items/217
204,001FM001001,https://v3.imaginerio.org/api/items/218
205,001FM001002,https://v3.imaginerio.org/api/items/219
206,001FM001003,https://v3.imaginerio.org/api/items/220
207,001GU001001,https://v3.imaginerio.org/api/items/221
208,001GU001002,https://v3.imaginerio.org/api/items/222
209,001GU001003,https://v3.imaginerio.org/api/items/223
210,001GU001005,https://v3.imaginerio.org/api/items/224
211,001GU001010,https://v3.imaginerio.org/api/items/225
212,001GU001012,https://v3.imaginerio.org/api/items/226
213,001GU001013,https://v3.imaginerio.org/api/items/227
214,001GU001019,https://v3.imaginerio.org/api/items/228
215,001GU001021,https://v3.imaginerio.org/api/items/229
216,001GU001025,https://v3.imaginerio.org/api/items/230
217,001GU001029,https://v3.imaginerio.org/api/items/231
218,001GU001031,https://v3.imaginerio.org/api/items/232
219,001GU001033,https://v3.imaginerio.org/api/items/233
220,001MF003002,https://v3.imaginerio.org/api/items/234
221,001MF003007,https://v3.imaginerio.org/api/items/235
222,001MF012003,https://v3.imaginerio.org/api/items/236
223,001RR005,https://v3.imaginerio.org/api/items/237
224,001SW001001,https://v3.imaginerio.org/api/items/238
225,001SW001003,https://v3.imaginerio.org/api/items/239
226,002008OBAC008,https://v3.imaginerio.org/api/items/240
227,002008OBAC010,https://v3.imaginerio.org/api/items/241
228,002051AM001001,https://v3.imaginerio.org/api/items/242
229,002051AM001003,https://v3.imaginerio.org/api/items/243
230,002051AM001004,https://v3.imaginerio.org/api/items/244
231,002051AM001005,https://v3.imaginerio.org/api/items/245
232,002051AM002002,https://v3.imaginerio.org/api/items/246
233,002051AN009,https://v3.imaginerio.org/api/items/247
234,002051AN010,https://v3.imaginerio.org/api/items/248
235,002054VIAN004,https://v3.imaginerio.org/api/items/249
236,002054VIAN012,https://v3.imaginerio.org/api/items/250
237,002054VIAN014,https://v3.imaginerio.org/api/items/251
238,002054VIAN031,https://v3.imaginerio.org/api/items/252
239,002054VIAN040,https://v3.imaginerio.org/api/items/253
240,002080BR0206,https://v3.imaginerio.org/api/items/254
241,002080BR0207,https://v3.imaginerio.org/api/items/255
242,002080RJ2807,https://v3.imaginerio.org/api/items/256
243,002080RJ2815,https://v3.imaginerio.org/api/items/257
244,0071824cx001-01,https://v3.imaginerio.org/api/items/258
245,0071824cx001-02,https://v3.imaginerio.org/api/items/259
246,0071824cx001-04,https://v3.imaginerio.org/api/items/260
247,0071824cx001-05,https://v3.imaginerio.org/api/items/261
248,0071824cx001-06,https://v3.imaginerio.org/api/items/262
249,0071824cx001-08,https://v3.imaginerio.org/api/items/263
