id,Not in
001CC019010,['Wikidata']
001CC019011,['Wikidata']
001CC019012,['Wikidata']
001CC019013,['Wikidata']
001CC019014,['Wikidata']
001CC020001,['Wikidata']
001CC020002,['Wikidata']
001CC021,['Wikidata']
001CC022,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC023002,['Wikidata']
001CC023003,['Wikidata']
001CC025,"['Portals', 'Wikidata', 'Omeka']"
001CC029,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC031,"['Portals', 'Wikidata', 'Omeka']"
001CC032,"['Portals', 'Wikidata', 'Omeka']"
001CC043,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CC045,"['Portals', 'Wikidata', 'Omeka']"
001CC047,"['Portals', 'Wikidata', 'Omeka']"
001CE001,['Wikidata']
001CO001001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CO001002,['Wikidata']
001CO001003,"['Portals', 'Wikidata', 'Omeka']"
001CO001004,['Wikidata']
001CO001006,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001CO001007,"['Portals', 'Wikidata', 'Omeka']"
001CO001008,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001FA002,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001FE001,"['Portals', 'Wikidata', 'Omeka']"
001FE001v,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001FM001002,['Wikidata']
001FM001003,['Wikidata']
001GU001001,['Wikidata']
001GU001003,['Wikidata']
001GU001006,"['Portals', 'Omeka']"
001GU001007,"['Portals', 'Omeka']"
001GU001008,"['Portals', 'Omeka']"
001GU001009,"['Portals', 'Omeka']"
001GU001011,"['Portals', 'Wikidata', 'Omeka']"
001GU001012t,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001GU001013t,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001GU001014,"['Portals', 'Wikidata', 'Omeka']"
001GU001015,"['Portals', 'Wikidata', 'Omeka']"
001GU001016,"['Portals', 'Wikidata', 'Omeka']"
001GU001017,"['Portals', 'Wikidata', 'Omeka']"
001GU001018,"['Portals', 'Wikidata', 'Omeka']"
001GU001020,"['Portals', 'Wikidata', 'Omeka']"
001GU001022,"['Portals', 'Wikidata', 'Omeka']"
001GU001023,"['Portals', 'Wikidata', 'Omeka']"
001GU001024,"['Portals', 'Wikidata', 'Omeka']"
001GU001025t,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001GU001026,"['Portals', 'Wikidata', 'Omeka']"
001GU001027,"['Portals', 'Wikidata', 'Omeka']"
001GU001028,"['Portals', 'Wikidata', 'Omeka']"
001GU001030,"['Portals', 'Wikidata', 'Omeka']"
001GU001032,"['Portals', 'Wikidata', 'Omeka']"
001GU001034,"['Portals', 'Wikidata', 'Omeka']"
001GU001035,"['Portals', 'Wikidata', 'Omeka']"
001GU001036,"['Portals', 'Wikidata', 'Omeka']"
001GU010001,"['Portals', 'Wikidata', 'Omeka']"
001GU010002,"['Portals', 'Wikidata', 'Omeka']"
001HT001001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001HT001002,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001HT001003,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001HT001004,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001HT001005,"['Images', 'Camera', 'Omeka']"
001HT001006,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001HT001007,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001KL004002,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001KL004003,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001KL004004,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001KL004005,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001KL004006,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001LE001001,"['Images', 'Camera', 'Omeka']"
001LE001002,"['Images', 'Camera', 'Omeka']"
001LE004001,"['Images', 'Omeka']"
001LE004002,"['Images', 'Camera', 'Omeka']"
001LN001001,"['Portals', 'Wikidata', 'Omeka']"
001LN001002,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001LU001001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001LU001002,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MB001002,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MC001001,"['Portals', 'Omeka']"
001MC001002,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MC001004,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MC001005,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MC001006,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MC001007,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MC001008,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MC001009,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MC001010,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MC001011,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MC001012,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MC003,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MF001001,"['Images', 'Portals', 'Omeka']"
001MF001002,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001MF002001,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001MF002003,"['Images', 'Omeka']"
001MF002004,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001MF002005,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001MF002006,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001MF002007,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001MF002008,"['Portals', 'Wikidata', 'Omeka']"
001MF003001,"['Portals', 'Wikidata', 'Omeka']"
001MF003003,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001MF003004,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001MF003005,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001MF003006,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MF003008,"['Portals', 'Wikidata', 'Omeka']"
001MF003009,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MF003012,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MF004,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MF005,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MF006001,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001MF006002,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001MF006003,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001MF007001,"['Portals', 'Wikidata', 'Omeka']"
001MF007002,"['Portals', 'Wikidata', 'Omeka']"
001MF007003,"['Portals', 'Omeka']"
001MF007004,"['Portals', 'Wikidata', 'Omeka']"
001MF007005,"['Portals', 'Wikidata', 'Omeka']"
001MF007007,"['Portals', 'Wikidata', 'Omeka']"
001MF007008,"['Portals', 'Wikidata', 'Omeka']"
001MF007010,"['Portals', 'Wikidata', 'Omeka']"
001MF007011,"['Portals', 'Wikidata', 'Omeka']"
001MF009,"['Portals', 'Wikidata', 'Omeka']"
001MF011001,"['Images', 'Omeka']"
001MF011002,"['Images', 'Portals', 'Omeka']"
001MF012001,"['Portals', 'Wikidata', 'Omeka']"
001MF012002,"['Portals', 'Wikidata', 'Omeka']"
001MF012004,"['Images', 'Omeka']"
001MF013,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001MF014001,"['Portals', 'Omeka']"
001MF014002,"['Portals', 'Wikidata', 'Omeka']"
001MF014003,"['Portals', 'Omeka']"
001MF014004,"['Portals', 'Wikidata', 'Omeka']"
001MF014005,"['Images', 'Portals', 'Omeka']"
