id,wikidata_id,wikidata_ims_id,wikidata_image,wikidata_depict
002008AV025,http://www.wikidata.org/entity/Q65620214,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
002008AV032,http://www.wikidata.org/entity/Q65620215,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
002008OBAC008,http://www.wikidata.org/entity/Q97772511,,,
002008OBAC010,http://www.wikidata.org/entity/Q97772512,,,
002014RJRJ004,http://www.wikidata.org/entity/Q65620216,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
002014RJRJ006,http://www.wikidata.org/entity/Q65621343,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
002014RJRJ007,http://www.wikidata.org/entity/Q65621344,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
002014RJRJ011,http://www.wikidata.org/entity/Q65620398,,,http://www.wikidata.org/entity/Q1532671 Glória
002016BI003,http://www.wikidata.org/entity/Q65620219,,,http://www.wikidata.org/entity/Q10352741 Enseada de Botafogo
002016BI004,http://www.wikidata.org/entity/Q65620399,,,http://www.wikidata.org/entity/Q1532671 Glória
002016BI005,http://www.wikidata.org/entity/Q65620221,,,http://www.wikidata.org/entity/Q10352741 Enseada de Botafogo
002016BI006,http://www.wikidata.org/entity/Q65620400,,,http://www.wikidata.org/entity/Q1532671 Glória
002051AM001001,http://www.wikidata.org/entity/Q97772582,,,
002051AM001003,http://www.wikidata.org/entity/Q97772583,,,
002051AM001004,http://www.wikidata.org/entity/Q97772584,,,
002051AM001005,http://www.wikidata.org/entity/Q97772585,,,
002051AM002001,http://www.wikidata.org/entity/Q65620222,,,http://www.wikidata.org/entity/Q506938 Corcovado
002051AM002002,http://www.wikidata.org/entity/Q97772586,,,
002051AN009,http://www.wikidata.org/entity/Q97772570,,,
002051AN010,http://www.wikidata.org/entity/Q97772571,,,
002054VIAN000,http://www.wikidata.org/entity/Q97772504,,,
002054VIAN004,http://www.wikidata.org/entity/Q97772503,,,
002054VIAN012,http://www.wikidata.org/entity/Q97772505,,,
002054VIAN014,http://www.wikidata.org/entity/Q65620223,,,http://www.wikidata.org/entity/Q468540 Ipanema
002054VIAN019AB,http://www.wikidata.org/entity/Q97772506,,,
002054VIAN020AB,http://www.wikidata.org/entity/Q97772507,,,
002054VIAN031,http://www.wikidata.org/entity/Q97772508,,,
002054VIAN040,http://www.wikidata.org/entity/Q97772509,,,
002055RevdaArmada006,http://www.wikidata.org/entity/Q97772493,,,
002055RevdaArmada010,http://www.wikidata.org/entity/Q97772551,,,
002055RevdaArmada018,http://www.wikidata.org/entity/Q97772494,,,
002055RevdaArmada019,http://www.wikidata.org/entity/Q97772495,,,
002055RevdaArmada022,http://www.wikidata.org/entity/Q97772553,,,
002055RevdaArmada039,http://www.wikidata.org/entity/Q97772496,,,
002055RevdaArmada055,http://www.wikidata.org/entity/Q97772554,,,
002055RevdaArmada067,http://www.wikidata.org/entity/Q97772555,,,
002055RevdaArmada069,http://www.wikidata.org/entity/Q97772556,,,
002055RevdaArmada072,http://www.wikidata.org/entity/Q65620224,,,
002058aFR007,http://www.wikidata.org/entity/Q65620225,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
002058aFR015,http://www.wikidata.org/entity/Q65621345,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
002058aFR016,http://www.wikidata.org/entity/Q65620227,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
002059VP011,http://www.wikidata.org/entity/Q56654181,,http://commons.wikimedia.org/wiki/Special:FilePath/Vincenzo%20Pastore%20-%20IMS%20002059VP011.jpg,http://www.wikidata.org/entity/Q47169289 Vincenzo Pastore
002080BR0205,http://www.wikidata.org/entity/Q97772426,,,
002080BR0206,http://www.wikidata.org/entity/Q97772427,,,
002080BR0207,http://www.wikidata.org/entity/Q97772429,,,
002080RJ1212,http://www.wikidata.org/entity/Q97772528,,,
002080RJ1213,http://www.wikidata.org/entity/Q97772530,,,
002080RJ2807,http://www.wikidata.org/entity/Q97772499,,,
002080RJ2815,http://www.wikidata.org/entity/Q97772501,,,
002080RJ8402,http://www.wikidata.org/entity/Q97772572,,,
002080RJ8403,http://www.wikidata.org/entity/Q97772574,,,
002080Vol01Cx0115,http://www.wikidata.org/entity/Q97772430,,,
002080Vol02Cx0105,http://www.wikidata.org/entity/Q97772576,,,
002080Vol02Cx0106,http://www.wikidata.org/entity/Q97772577,,,
002080Vol02Cx0216,http://www.wikidata.org/entity/Q97772431,,,
002080Vol02Cx0602,http://www.wikidata.org/entity/Q97772533,,,
002086AMF06,http://www.wikidata.org/entity/Q65620228,,,http://www.wikidata.org/entity/Q2408175 São Cristóvão
004VP003,http://www.wikidata.org/entity/Q56654185,,http://commons.wikimedia.org/wiki/Special:FilePath/Vincenzo%20Pastore%20-%20IMS%20004VP003.jpg,
004VP011,http://www.wikidata.org/entity/Q56654184,,http://commons.wikimedia.org/wiki/Special:FilePath/Vincenzo%20Pastore%20-%20IMS%20004VP011.jpg,http://www.wikidata.org/entity/Q9698098 Casa Lebre
004VP021003,http://www.wikidata.org/entity/Q56654186,,http://commons.wikimedia.org/wiki/Special:FilePath/Vincenzo%20Pastore%20-%20IMS%20004VP021003.jpg,
004VP030,http://www.wikidata.org/entity/Q56654183,,http://commons.wikimedia.org/wiki/Special:FilePath/Vincenzo%20Pastore%20-%20IMS%20004VP030.jpg,http://www.wikidata.org/entity/Q47169289 Vincenzo Pastore
0071530cx002-07,http://www.wikidata.org/entity/Q97772927,,,
0071530cx002-10,http://www.wikidata.org/entity/Q65621346,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
0071530cx002-11,http://www.wikidata.org/entity/Q65621347,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
0071530cx004-03,http://www.wikidata.org/entity/Q97772928,,,
