id,first_year,last_year,geometry
014AM019002,1926-01-01,1926-01-01,"POLYGON ((-43.22497714570346 -22.9741378547992, -43.22136990429267 -22.97552014082923, -43.22153443218639 -22.97583901145149, -43.22173211654124 -22.9761414991558, -43.22196105368634 -22.97642469070082, -43.22221903891614 -22.97668585866769, -43.22250358771964 -22.97692248773157, -43.2228119597066 -22.97713229889078, -43.22314118500002 -22.97731327141994, -43.2234880928411 -22.9774636623357, -43.22384934213064 -22.97758202318713, -43.22422145361293 -22.97766721400914, -43.22448461819445 -22.97770644172042, -43.22497714570346 -22.9741378547992))"
014AM019001,1921-01-01,1931-01-01,"POLYGON ((-43.22397413555624 -22.97261057104358, -43.2205183881641 -22.97958536631006, -43.22127760441747 -22.97986363805333, -43.22206279390821 -22.9800720552751, -43.22286639370348 -22.98020861047675, -43.22368066345225 -22.98027198833785, -43.22449775997702 -22.98026157839189, -43.22530981285851 -22.98017748090932, -43.22610900028325 -22.98002050593127, -43.22688762442203 -22.97979216546315, -43.22758131061219 -22.97952007216796, -43.22397413555624 -22.97261057104358))"
014AM018004,1933-01-01,1933-01-01,"POLYGON ((-43.17779153885303 -22.92392077947135, -43.1795657845903 -22.9207160923417, -43.17921619933637 -22.92057135159381, -43.17885289483741 -22.92045886693274, -43.17847936968104 -22.92037972156587, -43.17809922085547 -22.92033467764744, -43.17771610911854 -22.92032416894087, -43.17733372375353 -22.92034829664276, -43.17695574705057 -22.92040682840852, -43.17658581885535 -22.92049920058933, -43.17626663276498 -22.92060900650499, -43.17779153885303 -22.92392077947135))"
014AM018003,1933-01-01,1933-01-01,"POLYGON ((-43.18125843572994 -22.95019563072495, -43.17909179477734 -22.94720234363497, -43.17878361895023 -22.94741231468806, -43.17849927549563 -22.94764909022994, -43.17824150276702 -22.94791039011703, -43.17801278328472 -22.9481936980229, -43.17781531982681 -22.94849628566681, -43.1776510142119 -22.94881523908351, -43.17752144897831 -22.94914748668178, -43.17742787213624 -22.94948982882151, -43.17737556694421 -22.94980056780618, -43.18125843572994 -22.95019563072495))"
014AM018002,1933-01-01,1933-01-01,"POLYGON ((-43.18151448592323 -22.95009740712036, -43.17781948267691 -22.94892986252083, -43.17771299471297 -22.94926899046754, -43.17764311651712 -22.94961609690471, -43.17761052132825 -22.94996783905598, -43.17761552334476 -22.95032082947505, -43.17765807468757 -22.95067166866771, -43.17773776584995 -22.95101697783099, -43.17785382963029 -22.95135343139397, -43.17800514851042 -22.95167778904705, -43.17816808052179 -22.95195342387114, -43.18151448592323 -22.95009740712036))"
014AM018001,1931-01-01,1931-01-01,"POLYGON ((-43.21003633099998 -22.95184116799999, -43.21330680553326 -22.95380867094642, -43.21350048499599 -22.95350401235718, -43.21366080153591 -22.95318333983188, -43.21378621140779 -22.95284974172482, -43.21387550707652 -22.95250643085155, -43.21392782883737 -22.95215671354462, -43.21394267308548 -22.95180395780937, -43.21391989715496 -22.95145156088677, -43.21389591660139 -22.95128508601996, -43.21003633099998 -22.95184116799999))"
014AM017006,1922-01-01,1922-01-01,"POLYGON ((-43.18011889085809 -22.90395351933734, -43.18088023686089 -22.90748177618518, -43.1812520090299 -22.90739604482208, -43.18161286782302 -22.90727715925556, -43.18195933774665 -22.90712626450404, -43.1822880819205 -22.90694481387056, -43.1825959342205 -22.90673455494272, -43.1828799297758 -22.90649751275779, -43.18313733352523 -22.90623597029566, -43.18336566655859 -22.90595244648723, -43.18356272998881 -22.90564967195069, -43.18357343691831 -22.90563109496504, -43.18011889085809 -22.90395351933734))"
014AM017005,1922-01-01,1922-01-01,"POLYGON ((-43.18928597747043 -22.98405233522457, -43.1853900129833 -22.98377638228618, -43.18537938750811 -22.98412926720384, -43.18540638469376 -22.98448141168291, -43.18547074483342 -22.98482942436058, -43.18557184838095 -22.98516995363979, -43.18570872190685 -22.98549971996867, -43.18588004746314 -22.98581554742703, -43.18608417526757 -22.98611439431574, -43.18631913958509 -22.98639338245403, -43.18655791447704 -22.98662778915706, -43.18928597747043 -22.98405233522457))"
014AM017004,1922-01-01,1922-01-01,"POLYGON ((-43.17287279000001 -22.93736081700001, -43.17381990738888 -22.94085075509871, -43.17418679886143 -22.9407484561736, -43.17454103476335 -22.94061353166883, -43.17487920340189 -22.94044728107644, -43.17519804786517 -22.94025130559261, -43.17536070527298 -22.94013407254968, -43.17287279000001 -22.93736081700001))"
014AM017003,1922-01-01,1922-01-01,"POLYGON ((-43.17544157484788 -22.90105163792337, -43.17203331051834 -22.90280758607807, -43.17223656153176 -22.90310686723099, -43.17247067997413 -22.90338635541099, -43.17273341123106 -22.90364335886385, -43.17302222507447 -22.9038754023714, -43.17333434002948 -22.90408025109438, -43.17366675016296 -22.90425593210032, -43.17401625403607 -22.90440075336882, -43.17437948554146 -22.90451332009111, -43.17471105669362 -22.90458541789113, -43.17544157484788 -22.90105163792337))"
014AM017002,1921-01-01,1921-01-01,"POLYGON ((-43.16973268483625 -22.90590193124134, -43.17202298968153 -22.90881563683624, -43.17232200672783 -22.90859481923447, -43.17259608570783 -22.90834806733652, -43.17284258708447 -22.90807775763274, -43.17305913696524 -22.90778649348601, -43.17324364996217 -22.90747708005488, -43.17339434927112 -22.90715249727352, -43.17350978377743 -22.90681587114893, -43.17358884202309 -22.90647044365207, -43.17362793905748 -22.90615889659083, -43.16973268483625 -22.90590193124134))"
014AM017001,1922-01-01,1922-01-01,"POLYGON ((-43.17951463902469 -22.90656191100375, -43.17911976909294 -22.90298306618094, -43.17874086107894 -22.90303595070477, -43.17836940439015 -22.90312279129091, -43.17800897610055 -22.90324275168125, -43.17766304710668 -22.90339467667775, -43.17733494870978 -22.90357710326425, -43.17702784054048 -22.90378827469217, -43.17674468013519 -22.90402615739434, -43.17648819445652 -22.90428846056442, -43.1762608536322 -22.90457265821343, -43.17606484716523 -22.90487601349129, -43.17590206284444 -22.90519560503925, -43.17580707121857 -22.90543195543998, -43.17951463902469 -22.90656191100375))"
014AM015012,1923-01-01,1923-01-01,"POLYGON ((-43.18559832867532 -22.90132867466986, -43.18462312365228 -22.8978453707972, -43.18425718977273 -22.89795019576241, -43.18390417083198 -22.89808755657181, -43.18356746639161 -22.89825613046223, -43.1832503189404 -22.89845429408792, -43.18295578267355 -22.89868013914996, -43.18268669408327 -22.89893149076934, -43.18244564464381 -22.89920592842719, -43.18223495585404 -22.89950080927053, -43.18207481220134 -22.89977779602163, -43.18559832867532 -22.90132867466986))"
014AM015010,1919-01-01,1919-01-01,"POLYGON ((-43.17960671845235 -22.94608906801799, -43.17570705843248 -22.94587811752923, -43.17570337782738 -22.94623112172767, -43.17573728864414 -22.9465827583273, -43.1758084645916 -22.94692964085167, -43.17591622047937 -22.94726842858322, -43.17605951880618 -22.94759585873809, -43.17623697974204 -22.94790877789133, -43.17644689440863 -22.94820417234967, -43.17668724133037 -22.94847919717934, -43.17695570589771 -22.94873120360904, -43.17705667968084 -22.94881417756172, -43.17960671845235 -22.94608906801799))"
014AM015009,1915-01-01,1915-01-01,"POLYGON ((-43.18068591149206 -22.94716244671556, -43.17868218317985 -22.94407444894497, -43.17836314969669 -22.94427017582606, -43.17806648424984 -22.944493756425, -43.17779504383174 -22.9447430376707, -43.17755144256117 -22.94501561898343, -43.17733802650793 -22.94530887538858, -43.17715685109663 -22.94561998279148, -43.17700966130768 -22.94594594517018, -43.17689787486588 -22.94628362342449, -43.17682256857899 -22.94662976560353, -43.17678446795822 -22.94698103822089, -43.17678272840431 -22.94701616083681, -43.18068591149206 -22.94716244671556))"
014AM014002,1921-01-01,1921-01-01,"POLYGON ((-43.18043497999996 -22.90700389100005, -43.1838810346451 -22.90531150132244, -43.18368435479312 -22.90500851574317, -43.18345638306267 -22.90472474675285, -43.18319931503157 -22.9044629270732, -43.18291562643475 -22.90422557803685, -43.1826080493204 -22.90401498531069, -43.18227954573995 -22.90383317688884, -43.18193327922513 -22.90368190356688, -43.18157258432676 -22.90356262208531, -43.18120093450821 -22.90347648110435, -43.1808219087028 -22.90342431014499, -43.18065884302383 -22.90341252486564, -43.18043497999996 -22.90700389100005))"
014AM014001,1921-01-01,1921-01-01,"POLYGON ((-43.1804667349934 -22.90658214887011, -43.18048417450429 -22.91017939445705, -43.18086687790285 -22.91016049770687, -43.18124572740232 -22.91010713859878, -43.18161707419575 -22.91001983105037, -43.18197734175383 -22.90989941594566, -43.18232306027857 -22.90974705303431, -43.18265090012811 -22.90956420975935, -43.1829577038899 -22.90935264712084, -43.18324051679365 -22.90911440271192, -43.1834697062224 -22.90888191580938, -43.1804667349934 -22.90658214887011))"
